C-A10-0;C-RGRP86-0;F-RGR-BRPNOM;F-RGR-BRPEINW;F-RGR-BRPERW;F-RGR-VERVJ;F-RGR-VERKVJ
A10-2000;AT111;572,0;15000,0;0,0;0,0;0,0
A10-2000;AT112;2600,0;18900,0;0,0;0,0;0,0
A10-2000;AT113;1728,0;17200,0;0,0;0,0;0,0
A10-2000;AT121;4558,0;19400,0;0,0;0,0;0,0
A10-2000;AT122;4827,0;19400,0;0,0;0,0;0,0
A10-2000;AT123;3783,0;27000,0;0,0;0,0;0,0
A10-2000;AT124;4101,0;17400,0;0,0;0,0;0,0
A10-2000;AT125;1722,0;13300,0;0,0;0,0;0,0
A10-2000;AT126;5097,0;19900,0;0,0;0,0;0,0
A10-2000;AT127;9553,0;32700,0;0,0;0,0;0,0
A10-2000;AT130;56460,0;36400,0;0,0;0,0;0,0
A10-2000;AT211;7292,0;27300,0;0,0;0,0;0,0
A10-2000;AT212;2402,0;18200,0;0,0;0,0;0,0
A10-2000;AT213;2828,0;17500,0;0,0;0,0;0,0
A10-2000;AT221;11963,0;33600,0;0,0;0,0;0,0
A10-2000;AT222;1761,0;21700,0;0,0;0,0;0,0
A10-2000;AT223;3791,0;20100,0;0,0;0,0;0,0
A10-2000;AT224;4422,0;17100,0;0,0;0,0;0,0
A10-2000;AT225;3328,0;17800,0;0,0;0,0;0,0
A10-2000;AT226;2169,0;19500,0;0,0;0,0;0,0
A10-2000;AT311;5097,0;18800,0;0,0;0,0;0,0
A10-2000;AT312;17996,0;34200,0;0,0;0,0;0,0
A10-2000;AT313;2861,0;14500,0;0,0;0,0;0,0
A10-2000;AT314;3716,0;24200,0;0,0;0,0;0,0
A10-2000;AT315;5318,0;23800,0;0,0;0,0;0,0
A10-2000;AT321;423,0;19400,0;0,0;0,0;0,0
A10-2000;AT322;3739,0;23200,0;0,0;0,0;0,0
A10-2000;AT323;10795,0;32600,0;0,0;0,0;0,0
A10-2000;AT331;817,0;25400,0;0,0;0,0;0,0
A10-2000;AT332;8046,0;29400,0;0,0;0,0;0,0
A10-2000;AT333;910,0;17500,0;0,0;0,0;0,0
A10-2000;AT334;2247,0;24400,0;0,0;0,0;0,0
A10-2000;AT335;5784,0;26300,0;0,0;0,0;0,0
A10-2000;AT341;2181,0;25400,0;0,0;0,0;0,0
A10-2000;AT342;7412,0;28200,0;0,0;0,0;0,0
A10-2000;ATZZZ;109,0;0,0;0,0;0,0;0,0
A10-2000;AT11;4900,0;17700,0;43400,0;0,0;0,0
A10-2000;AT12;33640,0;21900,0;50400,0;0,0;0,0
A10-2000;AT13;56460,0;36400,0;63800,0;0,0;0,0
A10-2000;AT21;12522,0;22400,0;49500,0;0,0;0,0
A10-2000;AT22;27434,0;23200,0;48600,0;0,0;0,0
A10-2000;AT31;34988,0;25500,0;52600,0;0,0;0,0
A10-2000;AT32;14957,0;29100,0;53100,0;0,0;0,0
A10-2000;AT33;17804,0;26600,0;51400,0;0,0;0,0
A10-2000;AT34;9594,0;27500,0;56400,0;0,0;0,0
A10-2000;ATZZ;109,0;0,0;64500,0;0,0;0,0
A10-2000;AT1;95000,0;28200,0;57100,0;0,0;0,0
A10-2000;AT2;39956,0;22900,0;48900,0;0,0;0,0
A10-2000;AT3;77343,0;26600,0;52800,0;0,0;0,0
A10-2000;ATZ;109,0;0,0;64500,0;0,0;0,0
A10-2001;AT111;611,0;16100,0;0,0;0,0;0,0
A10-2001;AT112;2660,0;19200,0;0,0;0,0;0,0
A10-2001;AT113;1761,0;17600,0;0,0;0,0;0,0
A10-2001;AT121;4699,0;20000,0;0,0;0,0;0,0
A10-2001;AT122;4946,0;19900,0;0,0;0,0;0,0
A10-2001;AT123;3864,0;27500,0;0,0;0,0;0,0
A10-2001;AT124;4177,0;17700,0;0,0;0,0;0,0
A10-2001;AT125;1734,0;13400,0;0,0;0,0;0,0
A10-2001;AT126;5259,0;20300,0;0,0;0,0;0,0
A10-2001;AT127;9258,0;31500,0;0,0;0,0;0,0
A10-2001;AT130;58318,0;37300,0;0,0;0,0;0,0
A10-2001;AT211;7487,0;28000,0;0,0;0,0;0,0
A10-2001;AT212;2431,0;18500,0;0,0;0,0;0,0
