C-DEMIND_ZEIT-0;C-DEMIND_NUTS3-0;F-DEMIND_TFR
DEMIND_ZEIT-2002;GRNU-AT111;1,199
DEMIND_ZEIT-2002;GRNU-AT112;1,253
DEMIND_ZEIT-2002;GRNU-AT113;1,167
DEMIND_ZEIT-2002;GRNU-AT121;1,499
DEMIND_ZEIT-2002;GRNU-AT122;1,531
DEMIND_ZEIT-2002;GRNU-AT123;1,391
DEMIND_ZEIT-2002;GRNU-AT124;1,451
DEMIND_ZEIT-2002;GRNU-AT125;1,313
DEMIND_ZEIT-2002;GRNU-AT126;1,347
DEMIND_ZEIT-2002;GRNU-AT127;1,364
DEMIND_ZEIT-2002;GRNU-AT130;1,408
DEMIND_ZEIT-2002;GRNU-AT211;1,210
DEMIND_ZEIT-2002;GRNU-AT212;1,410
DEMIND_ZEIT-2002;GRNU-AT213;1,371
DEMIND_ZEIT-2002;GRNU-AT221;1,266
DEMIND_ZEIT-2002;GRNU-AT222;1,325
DEMIND_ZEIT-2002;GRNU-AT223;1,193
DEMIND_ZEIT-2002;GRNU-AT224;1,327
DEMIND_ZEIT-2002;GRNU-AT225;1,332
DEMIND_ZEIT-2002;GRNU-AT226;1,403
DEMIND_ZEIT-2002;GRNU-AT311;1,485
DEMIND_ZEIT-2002;GRNU-AT312;1,420
DEMIND_ZEIT-2002;GRNU-AT313;1,553
DEMIND_ZEIT-2002;GRNU-AT314;1,506
DEMIND_ZEIT-2002;GRNU-AT315;1,513
DEMIND_ZEIT-2002;GRNU-AT321;1,382
DEMIND_ZEIT-2002;GRNU-AT322;1,459
DEMIND_ZEIT-2002;GRNU-AT323;1,444
DEMIND_ZEIT-2002;GRNU-AT331;1,334
DEMIND_ZEIT-2002;GRNU-AT332;1,297
DEMIND_ZEIT-2002;GRNU-AT333;1,337
DEMIND_ZEIT-2002;GRNU-AT334;1,518
DEMIND_ZEIT-2002;GRNU-AT335;1,463
DEMIND_ZEIT-2002;GRNU-AT341;1,450
DEMIND_ZEIT-2002;GRNU-AT342;1,566
DEMIND_ZEIT-2002;GRNU-AT11;1,216
DEMIND_ZEIT-2002;GRNU-AT12;1,423
DEMIND_ZEIT-2002;GRNU-AT13;1,408
DEMIND_ZEIT-2002;GRNU-AT21;1,304
DEMIND_ZEIT-2002;GRNU-AT22;1,296
DEMIND_ZEIT-2002;GRNU-AT31;1,476
DEMIND_ZEIT-2002;GRNU-AT32;1,446
DEMIND_ZEIT-2002;GRNU-AT33;1,389
DEMIND_ZEIT-2002;GRNU-AT34;1,537
DEMIND_ZEIT-2002;GRNU-AT1;1,391
DEMIND_ZEIT-2002;GRNU-AT2;1,298
DEMIND_ZEIT-2002;GRNU-AT3;1,457
DEMIND_ZEIT-2002;GRNU-AT0;1,395
DEMIND_ZEIT-2003;GRNU-AT111;1,122
DEMIND_ZEIT-2003;GRNU-AT112;1,293
DEMIND_ZEIT-2003;GRNU-AT113;1,212
DEMIND_ZEIT-2003;GRNU-AT121;1,529
DEMIND_ZEIT-2003;GRNU-AT122;1,458
DEMIND_ZEIT-2003;GRNU-AT123;1,401
DEMIND_ZEIT-2003;GRNU-AT124;1,344
DEMIND_ZEIT-2003;GRNU-AT125;1,308
DEMIND_ZEIT-2003;GRNU-AT126;1,303
DEMIND_ZEIT-2003;GRNU-AT127;1,385
DEMIND_ZEIT-2003;GRNU-AT130;1,392
DEMIND_ZEIT-2003;GRNU-AT211;1,223
DEMIND_ZEIT-2003;GRNU-AT212;1,409
DEMIND_ZEIT-2003;GRNU-AT213;1,425
DEMIND_ZEIT-2003;GRNU-AT221;1,215
DEMIND_ZEIT-2003;GRNU-AT222;1,409
DEMIND_ZEIT-2003;GRNU-AT223;1,288
DEMIND_ZEIT-2003;GRNU-AT224;1,360
DEMIND_ZEIT-2003;GRNU-AT225;1,330
DEMIND_ZEIT-2003;GRNU-AT226;1,328
DEMIND_ZEIT-2003;GRNU-AT311;1,420
DEMIND_ZEIT-2003;GRNU-AT312;1,417
DEMIND_ZEIT-2003;GRNU-AT313;1,483
DEMIND_ZEIT-2003;GRNU-AT314;1,559
DEMIND_ZEIT-2003;GRNU-AT315;1,502
DEMIND_ZEIT-2003;GRNU-AT321;1,499
DEMIND_ZEIT-2003;GRNU-AT322;1,429
DEMIND_ZEIT-2003;GRNU-AT323;1,370
DEMIND_ZEIT-2003;GRNU-AT331;1,264
DEMIND_ZEIT-2003;GRNU-AT332;1,300
DEMIND_ZEIT-2003;GRNU-AT333;1,473
DEMIND_ZEIT-2003;GRNU-AT334;1,425
DEMIND_ZEIT-2003;GRNU-AT335;1,433
DEMIND_ZEIT-2003;GRNU-AT341;1,397
DEMIND_ZEIT-2003;GRNU-AT342;1,478
DEMIND_ZEIT-2003;GRNU-AT11;1,242
DEMIND_ZEIT-2003;GRNU-AT12;1,399
DEMIND_ZEIT-2003;GRNU-AT13;1,392
DEMIND_ZEIT-2003;GRNU-AT21;1,324
DEMIND_ZEIT-2003;GRNU-AT22;1,297
DEMIND_ZEIT-2003;GRNU-AT31;1,455
DEMIND_ZEIT-2003;GRNU-AT32;1,394
DEMIND_ZEIT-2003;GRNU-AT33;1,372
DEMIND_ZEIT-2003;GRNU-AT34;1,458
DEMIND_ZEIT-2003;GRNU-AT1;1,376
DEMIND_ZEIT-2003;GRNU-AT2;1,306
DEMIND_ZEIT-2003;GRNU-AT3;1,424
DEMIND_ZEIT-2003;GRNU-AT0;1,377
DEMIND_ZEIT-2004;GRNU-AT111;1,308
DEMIND_ZEIT-2004;GRNU-AT112;1,313
DEMIND_ZEIT-2004;GRNU-AT113;1,209
DEMIND_ZEIT-2004;GRNU-AT121;1,635
DEMIND_ZEIT-2004;GRNU-AT122;1,490
DEMIND_ZEIT-2004;GRNU-AT123;1,484
DEMIND_ZEIT-2004;GRNU-AT124;1,446
DEMIND_ZEIT-2004;GRNU-AT125;1,379
DEMIND_ZEIT-2004;GRNU-AT126;1,336
DEMIND_ZEIT-2004;GRNU-AT127;1,415
DEMIND_ZEIT-2004;GRNU-AT130;1,409
DEMIND_ZEIT-2004;GRNU-AT211;1,311
DEMIND_ZEIT-2004;GRNU-AT212;1,378
DEMIND_ZEIT-2004;GRNU-AT213;1,421
DEMIND_ZEIT-2004;GRNU-AT221;1,226
DEMIND_ZEIT-2004;GRNU-AT222;1,365
DEMIND_ZEIT-2004;GRNU-AT223;1,336
DEMIND_ZEIT-2004;GRNU-AT224;1,357
DEMIND_ZEIT-2004;GRNU-AT225;1,373
DEMIND_ZEIT-2004;GRNU-AT226;1,414
DEMIND_ZEIT-2004;GRNU-AT311;1,459
DEMIND_ZEIT-2004;GRNU-AT312;1,486
DEMIND_ZEIT-2004;GRNU-AT313;1,618
DEMIND_ZEIT-2004;GRNU-AT314;1,548
DEMIND_ZEIT-2004;GRNU-AT315;1,552
DEMIND_ZEIT-2004;GRNU-AT321;1,590
DEMIND_ZEIT-2004;GRNU-AT322;1,438
DEMIND_ZEIT-2004;GRNU-AT323;1,426
DEMIND_ZEIT-2004;GRNU-AT331;1,273
DEMIND_ZEIT-2004;GRNU-AT332;1,344
DEMIND_ZEIT-2004;GRNU-AT333;1,517
DEMIND_ZEIT-2004;GRNU-AT334;1,464
DEMIND_ZEIT-2004;GRNU-AT335;1,513
DEMIND_ZEIT-2004;GRNU-AT341;1,456
DEMIND_ZEIT-2004;GRNU-AT342;1,604
DEMIND_ZEIT-2004;GRNU-AT11;1,276
DEMIND_ZEIT-2004;GRNU-AT12;1,461
DEMIND_ZEIT-2004;GRNU-AT13;1,409
DEMIND_ZEIT-2004;GRNU-AT21;1,358
DEMIND_ZEIT-2004;GRNU-AT22;1,315
DEMIND_ZEIT-2004;GRNU-AT31;1,516
DEMIND_ZEIT-2004;GRNU-AT32;1,436
DEMIND_ZEIT-2004;GRNU-AT33;1,426
DEMIND_ZEIT-2004;GRNU-AT34;1,567
DEMIND_ZEIT-2004;GRNU-AT1;1,411
DEMIND_ZEIT-2004;GRNU-AT2;1,329
DEMIND_ZEIT-2004;GRNU-AT3;1,486
DEMIND_ZEIT-2004;GRNU-AT0;1,420
DEMIND_ZEIT-2005;GRNU-AT111;1,245
DEMIND_ZEIT-2005;GRNU-AT112;1,293
DEMIND_ZEIT-2005;GRNU-AT113;1,243
DEMIND_ZEIT-2005;GRNU-AT121;1,577
DEMIND_ZEIT-2005;GRNU-AT122;1,547
DEMIND_ZEIT-2005;GRNU-AT123;1,513
DEMIND_ZEIT-2005;GRNU-AT124;1,391
DEMIND_ZEIT-2005;GRNU-AT125;1,309
DEMIND_ZEIT-2005;GRNU-AT126;1,382
DEMIND_ZEIT-2005;GRNU-AT127;1,420
DEMIND_ZEIT-2005;GRNU-AT130;1,377
DEMIND_ZEIT-2005;GRNU-AT211;1,337
DEMIND_ZEIT-2005;GRNU-AT212;1,386
DEMIND_ZEIT-2005;GRNU-AT213;1,415
DEMIND_ZEIT-2005;GRNU-AT221;1,307
DEMIND_ZEIT-2005;GRNU-AT222;1,385
DEMIND_ZEIT-2005;GRNU-AT223;1,297
DEMIND_ZEIT-2005;GRNU-AT224;1,377
DEMIND_ZEIT-2005;GRNU-AT225;1,295
DEMIND_ZEIT-2005;GRNU-AT226;1,316
DEMIND_ZEIT-2005;GRNU-AT311;1,433
DEMIND_ZEIT-2005;GRNU-AT312;1,462
DEMIND_ZEIT-2005;GRNU-AT313;1,546
DEMIND_ZEIT-2005;GRNU-AT314;1,610
